feature,importance
bin_cum_12,0.20044404
max_out_degree,0.115589835
interval_min,0.06458464
bin_inc_3,0.056026474
bin_inc_11,0.055746038
interval_q90,0.040837992
interval_std,0.038332354
bin_cum_3,0.03228171
bin_cum_9,0.030178897
bin_cum_7,0.02667624
bin_cum_8,0.024251472
interval_q50,0.02256078
bin_inc_10,0.022236003
bin_cum_5,0.020424172
bin_cum_6,0.01905548
interval_mean,0.01765693
bin_cum_4,0.016107094
interval_max,0.013842337
n_obs,0.013380525
bin_cum_1,0.0132955145
bin_inc_5,0.0100028515
bin_cum_11,0.009127194
interval_q10,0.009032439
bin_inc_2,0.00858425
time_to_10h,0.008362519
top5_mean_out_degree,0.008022204
time_to_5h,0.007817851
bin_cum_2,0.0071883216
bin_inc_8,0.006888848
time_of_max_follower_h,0.006489135
root_verified_type,0.0061140787
pub_hour,0.0060857204
bin_inc_6,0.006035429
pub_is_night,0.005765898
bin_inc_7,0.0055723717
pub_is_weekend,0.0047751777
pub_weekday,0.0046552736
bin_inc_12,0.004563416
time_to_20h,0.0043188306
interval_burstiness,0.0040436313
root_verified,0.0040006363
bin_inc_1,0.004000567
root_log_followers,0.003954996
gini_out_degree,0.0039344593
bin_inc_9,0.0023299137
bin_inc_4,0.002258741
mean_depth,0.0009267782
bin_cum_10,0.00091610337
max_depth,0.0006225819
depth_entropy,8.489845e-05
hhi_out_degree,1.6280435e-05
max_log_followers,0.0
mean_log_followers,0.0
top5_mean_log_followers,0.0
verified_ratio,0.0
verified_early10,0.0
